iter	Logloss
0	0.6769054241
1	0.6625894854
2	0.6477980287
3	0.636403726
4	0.626347828
5	0.6161955501
6	0.6057519853
7	0.5965069074
8	0.5895571748
9	0.5817298241
10	0.5750652354
11	0.567225718
12	0.5612876168
13	0.5565365514
14	0.5521736299
15	0.5479645823
16	0.5425092157
17	0.5375884715
18	0.5330737039
19	0.5287774015
20	0.5257649322
21	0.5225571981
22	0.5196242304
23	0.5160003211
24	0.5133154005
25	0.5107207764
26	0.5084005607
27	0.5064464815
28	0.504416837
29	0.5026964314
30	0.500567902
31	0.4988499417
32	0.4968783578
33	0.4953667256
34	0.4938192194
35	0.4925459427
36	0.4913578334
37	0.4902510745
38	0.4892848895
39	0.4882619561
40	0.4868160186
41	0.4857130171
42	0.483969083
43	0.4829922223
44	0.4812669858
45	0.4803847158
46	0.4793216439
47	0.4784796614
48	0.4777486113
49	0.4771000149
50	0.4762223075
51	0.4748360706
52	0.4741694626
53	0.4735793741
54	0.4730071779
55	0.4722831654
56	0.4716278296
57	0.4708348721
58	0.4701843374
59	0.4692226255
60	0.4687361633
61	0.4679906204
62	0.4673498071
63	0.4665241961
64	0.4660766199
65	0.4654695337
66	0.4649684296
67	0.4645102373
68	0.4640588142
69	0.4635256232
70	0.4631653615
71	0.4627114633
72	0.4621202714
73	0.4615140202
74	0.4606751689
75	0.4598122225
76	0.4589738484
77	0.4586189841
78	0.4581173135
79	0.4571250057
80	0.4567426768
81	0.4562532325
82	0.455904064
83	0.4554592611
84	0.4549861287
85	0.4546454292
86	0.4541960936
87	0.4537362909
88	0.4533083664
89	0.4529929845
90	0.4526088664
91	0.4521606043
92	0.4518349045
93	0.4514475359
94	0.4511500464
95	0.4507797948
96	0.4503550312
97	0.4499764597
98	0.4496226392
99	0.4492417714
100	0.4488170079
101	0.4484584161
102	0.4481446446
103	0.4478632879
104	0.4475179663
105	0.4472332697
106	0.4469624696
107	0.4466843634
108	0.4458807599
109	0.4455415216
110	0.4453208497
111	0.4450300102
112	0.4445310234
113	0.4442147767
114	0.4440079714
115	0.4436842994
116	0.4431041411
117	0.4426880554
118	0.4424365193
119	0.442162916
120	0.4418929806
121	0.4415749149
122	0.4413737755
123	0.4409804427
124	0.4406995931
125	0.4404415262
126	0.4401399513
127	0.4398760993
128	0.4395385608
129	0.4393269842
130	0.4390173577
131	0.4387408618
132	0.4384594157
133	0.4381985159
134	0.4380171773
135	0.4376777601
136	0.4374374067
137	0.4372347166
138	0.4369125357
139	0.43662438
140	0.4364435781
141	0.4362368026
142	0.4359296214
143	0.4357424678
144	0.4355092713
145	0.4352242766
146	0.4349916765
147	0.4343232495
148	0.4340740393
149	0.4337676335
150	0.4334294091
151	0.433310634
152	0.4331061546
153	0.4328440919
154	0.4326357955
155	0.4323204733
156	0.4321063321
157	0.431908622
158	0.4315617199
159	0.4313626679
160	0.4311620951
161	0.4309618502
162	0.4307262681
163	0.4305890639
164	0.4304633704
165	0.4302933039
166	0.430017971
167	0.4297487215
168	0.429468349
169	0.4292711459
170	0.4290590623
171	0.4288914411
172	0.4287222097
173	0.4285293007
174	0.4282600512
175	0.4278320969
176	0.4276149736
177	0.4274532867
178	0.4272816995
179	0.4270862856
180	0.4269045891
181	0.4267803568
182	0.4266050121
183	0.426427908
184	0.4261868389
185	0.4259995959
186	0.42581116
187	0.4256839158
188	0.4254374492
189	0.4252440929
190	0.4250724162
191	0.4247546188
192	0.4245350205
193	0.4243490001
194	0.4241628902
195	0.4239429638
196	0.4237462975
197	0.4235033497
198	0.4232774294
199	0.42313942
200	0.4228888083
201	0.4227285528
202	0.4224775237
203	0.422267289
204	0.4220077908
205	0.421539877
206	0.4213430913
207	0.4211277275
208	0.4208965886
209	0.4203393623
210	0.4201672383
211	0.4200074003
212	0.4198419858
213	0.4195975172
214	0.4194176994
215	0.4192630204
216	0.4187003965
217	0.4184293578
218	0.4182128906
219	0.4180393352
220	0.4178090015
221	0.4175399309
222	0.4174185613
223	0.4172359703
224	0.4170959033
225	0.4168965233
226	0.4166715871
227	0.4164916798
228	0.4163112955
229	0.4161471633
230	0.4159814805
231	0.4155086761
232	0.4152452416
233	0.414993616
234	0.4148456466
235	0.4147057287
236	0.4145149966
237	0.4142200418
238	0.414024121
239	0.413904988
240	0.4137068306
241	0.4134919439
242	0.4133350582
243	0.4132017902
244	0.4130083445
245	0.4128603452
246	0.4125695951
247	0.4124075206
248	0.4122844811
249	0.4121251799
250	0.4118627891
251	0.4116426838
252	0.4114853209
253	0.4112983462
254	0.4111144132
255	0.410992
256	0.4108444182
257	0.4107179196
258	0.410589244
259	0.4104100525
260	0.4102650054
261	0.4101531487
262	0.4100922552
263	0.4099448523
264	0.4097463967
