iter	Passed	Remaining
0	10	10432
1	20	10261
2	30	10058
3	39	9869
4	49	9851
5	59	9797
6	68	9720
7	77	9640
8	87	9604
9	96	9587
10	106	9538
11	115	9513
12	125	9497
13	134	9444
14	143	9446
15	153	9422
16	162	9406
17	171	9379
18	181	9352
19	190	9310
20	199	9284
21	207	9243
22	216	9191
23	225	9169
24	234	9132
25	242	9097
26	251	9072
27	260	9029
28	268	9005
29	277	8973
30	286	8945
31	295	8932
32	303	8896
33	312	8883
34	321	8870
35	331	8878
36	339	8848
37	348	8823
38	357	8806
39	365	8775
40	374	8751
41	382	8723
42	391	8703
43	399	8686
44	408	8665
45	417	8649
46	426	8638
47	435	8631
48	443	8612
49	452	8602
50	461	8587
51	470	8575
52	479	8561
53	488	8558
54	497	8541
55	505	8525
56	514	8508
57	523	8497
58	532	8488
59	540	8472
60	549	8459
61	558	8448
62	566	8428
63	576	8431
64	585	8427
65	595	8424
66	605	8430
67	614	8417
68	623	8412
69	633	8416
70	642	8404
71	651	8403
72	661	8396
73	670	8385
74	678	8370
75	688	8368
76	697	8356
77	706	8354
78	715	8346
79	724	8333
80	733	8316
81	741	8303
82	750	8290
83	759	8284
84	768	8270
85	777	8261
86	785	8243
87	793	8226
88	802	8211
89	810	8196
90	819	8189
91	828	8180
92	837	8166
93	845	8152
94	854	8138
95	863	8127
96	872	8118
97	880	8108
98	889	8095
99	897	8081
100	906	8070
101	915	8063
102	924	8050
103	933	8043
104	943	8041
105	952	8033
106	961	8024
107	971	8024
108	980	8015
109	990	8012
110	999	8002
111	1008	7997
112	1017	7989
113	1027	7988
114	1039	8002
115	1051	8015
116	1064	8033
117	1077	8050
118	1087	8047
119	1096	8038
120	1104	8026
121	1113	8017
122	1123	8010
123	1133	8004
124	1142	7996
125	1152	7990
126	1160	7978
127	1169	7964
128	1177	7952
129	1186	7938
130	1194	7925
131	1203	7911
132	1212	7901
133	1220	7889
134	1229	7877
135	1238	7865
136	1247	7856
137	1256	7845
138	1264	7833
139	1273	7822
140	1282	7813
141	1291	7802
142	1300	7795
143	1310	7787
144	1318	7773
145	1327	7765
146	1336	7754
147	1345	7742
148	1353	7732
149	1362	7721
150	1371	7710
151	1380	7701
152	1389	7690
153	1397	7677
154	1406	7668
155	1415	7656
156	1423	7644
157	1432	7631
158	1440	7620
159	1449	7609
160	1457	7595
161	1466	7584
162	1474	7572
163	1483	7563
164	1492	7551
165	1501	7541
166	1509	7531
167	1518	7521
168	1527	7509
169	1535	7498
170	1544	7488
171	1553	7478
172	1562	7471
173	1575	7477
174	1583	7466
175	1592	7456
176	1601	7445
177	1610	7438
178	1620	7432
179	1630	7427
180	1640	7424
181	1649	7414
182	1658	7403
183	1666	7392
184	1675	7383
185	1684	7371
186	1692	7359
187	1701	7348
188	1710	7339
189	1719	7330
190	1727	7317
191	1736	7308
192	1744	7296
193	1753	7285
194	1762	7277
195	1771	7266
196	1780	7257
197	1790	7253
198	1800	7245
199	1809	7238
200	1819	7231
201	1827	7221
202	1836	7209
203	1844	7198
204	1853	7187
205	1862	7178
206	1870	7167
207	1880	7158
208	1888	7146
209	1897	7136
210	1905	7127
211	1914	7115
212	1923	7107
213	1932	7097
214	1941	7087
215	1949	7076
216	1959	7070
217	1968	7060
218	1976	7049
219	1984	7037
220	1993	7028
221	2003	7019
222	2011	7008
223	2020	7000
224	2029	6989
225	2038	6980
226	2046	6970
227	2055	6961
228	2064	6951
229	2073	6941
230	2082	6932
231	2091	6922
232	2099	6912
233	2108	6901
234	2118	6897
235	2127	6886
236	2135	6875
237	2144	6866
238	2155	6861
239	2163	6852
240	2173	6845
241	2182	6836
242	2191	6827
243	2201	6820
244	2210	6812
245	2219	6803
246	2228	6793
247	2237	6784
248	2245	6773
249	2254	6764
250	2263	6754
251	2272	6745
252	2281	6736
253	2291	6729
254	2300	6721
255	2309	6712
256	2318	6704
257	2328	6696
258	2338	6689
259	2346	6679
260	2355	6668
261	2364	6658
262	2372	6648
263	2381	6639
264	2390	6629
265	2399	6621
266	2408	6611
267	2417	6604
268	2427	6597
269	2437	6589
270	2445	6579
271	2454	6570
272	2463	6560
273	2472	6550
274	2481	6542
275	2491	6534
276	2500	6525
277	2508	6514
278	2516	6504
279	2525	6495
280	2534	6485
281	2544	6477
282	2553	6470
283	2563	6461
284	2572	6454
285	2582	6446
286	2591	6437
287	2599	6426
288	2608	6417
289	2617	6407
290	2626	6398
291	2635	6391
292	2644	6381
293	2654	6373
294	2663	6366
295	2672	6356
296	2682	6349
297	2691	6340
298	2700	6331
299	2710	6324
300	2719	6314
301	2727	6304
302	2736	6295
303	2745	6286
304	2755	6278
305	2764	6268
306	2773	6260
307	2782	6250
308	2790	6241
309	2800	6233
310	2809	6224
311	2818	6214
312	2826	6204
313	2835	6193
314	2844	6184
315	2853	6176
316	2865	6174
317	2874	6165
318	2883	6155
319	2891	6145
320	2900	6135
321	2909	6125
322	2918	6116
323	2926	6106
324	2935	6096
325	2944	6087
326	2954	6079
327	2963	6071
328	2972	6062
329	2982	6054
330	2991	6046
331	2999	6036
332	3008	6026
333	3017	6017
334	3026	6007
335	3035	5998
336	3044	5989
337	3052	5979
338	3061	5969
339	3070	5960
340	3079	5951
341	3088	5941
342	3096	5932
343	3106	5923
344	3115	5914
345	3123	5903
346	3132	5894
347	3140	5884
348	3149	5874
349	3158	5865
350	3167	5856
351	3175	5846
352	3184	5836
353	3192	5826
354	3201	5816
355	3210	5807
356	3219	5798
357	3227	5787
358	3236	5779
359	3244	5768
360	3253	5758
361	3261	5748
362	3271	5740
363	3280	5731
364	3289	5722
365	3298	5713
366	3306	5703
367	3315	5694
368	3324	5684
369	3333	5675
370	3341	5665
371	3350	5656
372	3359	5647
373	3368	5637
374	3377	5628
375	3386	5619
376	3394	5610
377	3404	5601
378	3412	5591
379	3421	5582
380	3430	5573
381	3438	5563
382	3447	5553
383	3455	5543
384	3464	5533
385	3472	5524
386	3481	5514
387	3491	5506
388	3500	5497
389	3508	5488
390	3517	5478
391	3526	5469
392	3534	5459
393	3543	5449
394	3551	5439
395	3560	5430
396	3569	5421
397	3578	5411
398	3586	5402
399	3595	5393
400	3604	5384
401	3613	5375
402	3624	5368
403	3632	5359
404	3642	5350
405	3652	5343
406	3660	5333
407	3669	5324
408	3678	5315
409	3687	5306
410	3696	5297
411	3705	5288
412	3714	5278
413	3722	5269
414	3731	5260
415	3740	5251
416	3749	5242
417	3758	5233
418	3766	5223
419	3775	5214
420	3784	5204
421	3794	5196
422	3806	5192
423	3819	5188
424	3831	5184
425	3841	5176
426	3852	5169
427	3861	5160
428	3871	5153
429	3879	5143
430	3888	5133
431	3897	5124
432	3906	5115
433	3914	5105
434	3922	5095
435	3931	5086
436	3940	5077
437	3949	5068
438	3958	5058
439	3966	5048
440	3975	5039
441	3984	5029
442	3993	5020
443	4002	5012
444	4011	5003
445	4020	4993
446	4028	4984
447	4037	4975
448	4047	4966
449	4055	4957
450	4064	4947
451	4073	4938
452	4083	4931
453	4095	4925
454	4108	4921
455	4120	4915
456	4130	4907
457	4138	4898
458	4147	4888
459	4156	4879
460	4165	4869
461	4173	4860
462	4183	4851
463	4192	4842
464	4201	4833
465	4214	4829
466	4223	4820
467	4233	4812
468	4242	4803
469	4250	4793
470	4259	4784
471	4268	4775
472	4277	4765
473	4286	4756
474	4294	4746
475	4303	4737
476	4313	4729
477	4321	4719
478	4330	4709
479	4338	4700
480	4347	4690
481	4356	4681
482	4365	4672
483	4373	4662
484	4382	4653
485	4391	4644
486	4400	4635
487	4409	4626
488	4418	4617
489	4427	4608
490	4436	4598
491	4444	4589
492	4453	4580
493	4462	4570
494	4471	4561
495	4480	4552
496	4489	4543
497	4498	4534
498	4508	4526
499	4517	4517
500	4527	4508
501	4536	4500
502	4545	4491
503	4554	4482
504	4563	4472
505	4571	4463
506	4580	4454
507	4590	4445
508	4599	4437
509	4608	4427
510	4618	4419
511	4627	4410
512	4636	4401
513	4646	4393
514	4655	4384
515	4663	4374
516	4672	4365
517	4681	4355
518	4690	4346
519	4698	4337
520	4708	4328
521	4716	4319
522	4725	4309
523	4734	4300
524	4743	4291
525	4751	4282
526	4760	4272
527	4769	4263
528	4777	4254
529	4787	4245
530	4796	4236
531	4806	4228
532	4815	4219
533	4824	4209
534	4833	4201
535	4843	4192
536	4852	4183
537	4860	4174
538	4869	4164
539	4878	4155
540	4887	4146
541	4900	4140
542	4911	4133
543	4921	4125
544	4930	4116
545	4939	4106
546	4947	4097
547	4956	4088
548	4966	4079
549	4976	4071
550	4986	4063
551	4995	4053
552	5005	4045
553	5013	4036
554	5022	4026
555	5031	4017
556	5041	4009
557	5050	4000
558	5060	3992
559	5070	3983
560	5078	3974
561	5087	3965
562	5096	3955
563	5105	3946
564	5115	3938
565	5125	3929
566	5134	3920
567	5144	3912
568	5156	3905
569	5168	3899
570	5179	3891
571	5188	3882
572	5197	3873
573	5206	3864
574	5216	3855
575	5224	3845
576	5232	3836
577	5241	3827
578	5250	3817
