Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
35.223.238.178-192.168.1.74-443-50475-6,35.223.238.178,443,192.168.1.74,50475,6,08/04/2025 09:58:27 下午,1588,2,3,480.0,24.0,480.0,0.0,240.0,339.4112549695428,24.0,0.0,8.0,13.856406460551018,317380.3526448363,3148.6146095717886,397.0,523.1041961215758,1176.0,55.0,1438.0,1438.0,0.0,1438.0,1438.0,1533.0,766.5,579.1204537917824,1176.0,357.0,1,0,0,0,40,60,1259.4458438287154,1889.168765743073,0.0,480.0,164.0,244.94897427831782,60000.0,2,0,0,2,5,0,0,0,1.0,196.8,240.0,8.0,0,0,0,0,0,0,0,0,0,0,64240,63474,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.74-40.126.35.87-50308-443-6,192.168.1.74,50308,40.126.35.87,443,6,08/04/2025 09:58:27 下午,79422,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.77290926947193,39711.0,55664.8600285674,79072.0,350.0,0,0,0,0,0,79072.0,79072.0,0.0,79072.0,79072.0,0,0,0,0,20,40,12.590969756490644,25.181939512981288,0.0,0.0,0.0,0.0,0.0,2,0,0,1,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,64239,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
35.223.238.178-192.168.1.74-443-50477-6,35.223.238.178,443,192.168.1.74,50477,6,08/04/2025 09:58:26 下午,1145872,25,7,33412.0,24.0,1460.0,0.0,1336.48,333.60869293230354,24.0,0.0,3.428571428571429,9.071147352221454,29179.5244145943,27.9263303405616,36963.6129032258,162244.63362500415,896695.0,0.0,1136755.0,47364.791666666664,193900.33183100048,937806.0,0.0,1145813.0,190968.83333333334,350265.5428565114,896781.0,693.0,0,0,0,0,500,140,21.81744557856375,6.1088847619978495,0.0,1460.0,1057.4545454545455,626.4180458622006,392399.5681818182,2,0,0,4,32,0,0,0,0.0,1090.5,1336.48,3.4285714285714284,0,0,0,33436,25,29418,0,0,0,0,64240,64240,23,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.74-35.223.238.178-50481-443-6,192.168.1.74,50481,35.223.238.178,443,6,08/04/2025 09:58:26 下午,2173447,11,13,2445.0,3627.0,1460.0,0.0,222.2727272727273,483.23495132473414,1420.0,0.0,279.0,518.9879574710766,2793.7189174615255,11.042367262693777,94497.69565217389,225862.38917483983,886393.0,0.0,2173447.0,217344.7,308731.0438600239,886709.0,0.0,1962101.0,163508.4166666667,295804.68021727947,886435.0,0.0,0,0,0,0,232,264,5.061084995401314,5.981282267292462,0.0,1460.0,242.88,485.11015243962885,235331.85999999996,1,2,1,10,23,0,0,0,1.0,253.0,222.27272727272728,279.0,0,0,0,6072,11,3095,0,0,0,0,64240,64239,5,20,0,0,0,0,0,0,0,0,NeedManualLabel
35.223.238.178-192.168.1.74-443-50474-6,35.223.238.178,443,192.168.1.74,50474,6,08/04/2025 09:58:26 下午,4201482,2,3,386.0,0.0,228.0,158.0,193.0,49.49747468305833,0.0,0.0,0.0,0.0,91.87234409191804,1.1900562706206999,1050370.5,1941547.999371721,3961448.0,39721.0,199994.0,199994.0,0.0,199994.0,199994.0,4161761.0,2080880.5,2659524.0634580655,3961448.0,200313.0,1,0,0,0,40,60,0.47602250824827996,0.71403376237242,0.0,228.0,90.66666666666666,102.55665101136378,10517.866666666665,1,0,0,2,5,0,0,0,1.0,108.8,193.0,0.0,0,0,0,0,0,0,2,386,3,0,64240,63854,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
156.146.58.185-192.168.1.74-443-50364-6,156.146.58.185,443,192.168.1.74,50364,6,08/04/2025 09:58:31 下午,1118,2,2,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,27728.08586762075,3577.8175313059032,372.6666666666667,584.2339713961636,1046.0,0.0,0.0,0.0,0.0,0.0,0.0,1046.0,1046.0,0.0,1046.0,1046.0,1,0,0,0,40,40,1788.9087656529516,1788.9087656529516,0.0,31.0,12.399999999999999,16.97939928266015,288.3,2,0,0,2,4,0,0,0,1.0,15.5,15.5,0.0,0,0,0,0,0,0,0,0,0,0,64240,63499,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.74-35.223.238.178-50487-443-6,192.168.1.74,50487,35.223.238.178,443,6,08/04/2025 09:58:29 下午,4719745,10,10,1584.0,3284.0,1460.0,0.0,158.4,458.02358017901213,1460.0,0.0,328.4,592.0786734510503,1031.4116546550715,4.237517069248445,248407.6315789474,634756.0432865537,2494173.0,0.0,4719745.0,524416.1111111111,866515.7373156077,2494368.0,0.0,4505623.0,500624.77777777775,882859.9458990901,2494173.0,0.0,0,0,0,0,212,204,2.1187585346242224,2.1187585346242224,0.0,1460.0,231.80952380952385,512.0550379644379,262200.3619047619,1,2,1,6,19,0,0,0,1.0,243.4,158.4,328.4,0,0,0,1810,4,1282778,5,792,5,1642,64240,64239,4,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.74-35.223.238.178-50486-443-6,192.168.1.74,50486,35.223.238.178,443,6,08/04/2025 09:58:29 下午,14614239,19,25,5171.0,5845.0,1460.0,0.0,272.157894736842,445.1583068175354,1460.0,0.0,233.79999999999993,473.3457158004778,753.7854006630109,3.0107623120163836,339866.0232558138,1547628.4458073338,1.0056815E7,0.0,1.4396539E7,799807.7222222221,2351898.121277235,1.0056815E7,0.0,1.4396403E7,599850.1250000001,2061020.1484987186,1.0097544E7,0.0,0,0,0,0,392,504,1.3001019074616202,1.7106604045547633,0.0,1460.0,244.8,452.8070831440853,205034.25454545458,2,2,0,19,43,0,0,0,1.0,250.36363636363637,272.1578947368421,233.8,0,0,0,4969,9,7233,6,1723,8,1948,64240,64239,12,20,1149458.0,0.0,1149458.0,1149458.0,1.0056815E7,0.0,1.0056815E7,1.0056815E7,NeedManualLabel
192.168.1.74-150.171.27.10-50714-443-6,192.168.1.74,50714,150.171.27.10,443,6,08/04/2025 09:58:48 下午,2375836,17,17,1821.0,8241.0,676.0,0.0,107.11764705882354,220.6249312614457,1460.0,0.0,484.7647058823529,651.597510873446,4235.140809382466,14.3107520889489,71995.03030303029,181744.7379118727,857285.0,0.0,2375836.0,148489.75,241667.2242616556,857285.0,79.0,1833572.0,114598.25,227249.99615914925,857610.0,0.0,0,0,0,0,352,344,7.15537604447445,7.15537604447445,0.0,1460.0,287.4857142857143,510.74918280021984,260864.7277310924,0,2,1,14,33,0,0,0,1.0,295.94117647058823,107.11764705882354,484.7647058823529,0,0,0,10062,16,5494,0,0,0,0,65535,64240,6,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.74-13.107.21.200-50731-443-6,192.168.1.74,50731,13.107.21.200,443,6,08/04/2025 09:58:50 下午,1021332,12,14,859.0,8136.0,379.0,0.0,71.58333333333334,118.68097675038,1460.0,0.0,581.1428571428571,685.8544202046712,8807.126380060548,25.456952293671403,40853.28,99919.93664826523,454056.0,0.0,1021332.0,92848.36363636363,136743.4910335938,454495.0,248.0,740372.0,56951.69230769232,126254.25740041706,454056.0,0.0,0,0,0,0,252,284,11.74936259707911,13.707589696592294,0.0,1460.0,333.14814814814815,556.8831325887178,310118.8233618234,0,2,1,9,25,0,0,0,1.0,345.96153846153845,71.58333333333333,581.1428571428571,0,0,0,8995,13,12161,0,0,0,0,65535,64240,5,20,0,0,0,0,0,0,0,0,NeedManualLabel
