Flow_ID,Source_IP,Source_Port,Destination_IP,Destination_Port,Protocol,Timestamp,Flow_Duration,Total_Fwd_Packets,Total_Backward_Packets,Total_Length_of_Fwd_Packets,Total_Length_of_Bwd_Packets,Fwd_Packet_Length_Max,Fwd_Packet_Length_Min,Fwd_Packet_Length_Mean,Fwd_Packet_Length_Std,Bwd_Packet_Length_Max,Bwd_Packet_Length_Min,Bwd_Packet_Length_Mean,Bwd_Packet_Length_Std,Flow_Bytes/s,Flow_Packets/s,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Total,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Total,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Fwd_Header_Length,Bwd_Header_Length,Fwd_Packets/s,Bwd_Packets/s,Min_Packet_Length,Max_Packet_Length,Packet_Length_Mean,Packet_Length_Std,Packet_Length_Variance,FIN_Flag_Count,SYN_Flag_Count,RST_Flag_Count,PSH_Flag_Count,ACK_Flag_Count,URG_Flag_Count,CWE_Flag_Count,ECE_Flag_Count,Down/Up_Ratio,Average_Packet_Size,Avg_Fwd_Segment_Size,Avg_Bwd_Segment_Size,Fwd_Avg_Bytes/Bulk,Fwd_Avg_Packets/Bulk,Fwd_Avg_Bulk_Rate,Bwd_Avg_Bytes/Bulk,Bwd_Avg_Packets/Bulk,Bwd_Avg_Bulk_Rate,Subflow_Fwd_Packets,Subflow_Fwd_Bytes,Subflow_Bwd_Packets,Subflow_Bwd_Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min,Label
192.168.1.74-106.14.34.130-56511-443-6,192.168.1.74,56511,106.14.34.130,443,6,07/04/2025 11:19:53 锟斤拷锟斤拷,16844,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.10496319164093,8422.0,11692.71773370075,16690.0,154.0,0.0,0.0,0.0,0.0,0.0,16690.0,16690.0,0.0,16690.0,16690.0,0,0,0,0,20,40,59.36832106388031,118.73664212776062,0.0,0.0,0.0,0.0,0.0,2,0,0,1,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,63549,64239,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bad
192.168.1.74-139.196.85.48-56509-443-6,192.168.1.74,56509,139.196.85.48,443,6,07/04/2025 11:19:53 锟斤拷锟斤拷,19808,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.453957996769,9904.0,13546.751713971877,19483.0,325.0,0.0,0.0,0.0,0.0,0.0,19483.0,19483.0,0.0,19483.0,19483.0,0,0,0,0,20,40,50.484652665589664,100.96930533117931,0.0,0.0,0.0,0.0,0.0,2,0,0,1,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,63682,64239,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bad
192.168.1.74-47.100.68.199-56525-443-6,192.168.1.74,56525,47.100.68.199,443,6,07/04/2025 11:19:53 锟斤拷锟斤拷,104008,9,13,970.0,3602.0,517.0,0.0,107.77777777777776,187.28172480101856,1424.0,0.0,277.07692307692304,523.2248499352296,43958.157064841165,211.522190600723,4952.761904761905,7737.206058421617,25238.0,14.0,91451.0,11431.375,9077.685245188572,25577.0,74.0,89774.0,7481.166666666667,8772.297696657808,25238.0,51.0,0,0,0,0,192,264,86.53180524575032,124.99038535497267,0.0,1424.0,198.78260869565216,413.3844739708521,170886.7233201581,2,2,0,11,21,0,0,0,1.0,207.8181818181818,107.77777777777776,277.0769230769231,0,0,0,4572,10,68363,0,0,0,0,64240,64239,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bad
192.168.1.74-47.100.58.110-56524-443-6,192.168.1.74,56524,47.100.58.110,443,6,07/04/2025 11:19:53 锟斤拷锟斤拷,16080431,8,11,710.0,3680.0,361.0,0.0,88.75,142.17368653466485,1424.0,0.0,334.54545454545456,551.3828730811946,273.002632827441,1.1815603698681956,893357.2777777778,3518122.5485661225,14959072.0,37.0,1120988.0,160141.14285714287,371054.9161244773,1000404.0,208.0,15060962.0,1506096.2,4741105.360609762,14999496.0,85.0,0,0,0,0,184,224,0.4974991031023981,0.6840612667657975,0.0,1424.0,219.50000000000003,429.9485281311069,184855.73684210525,1,3,0,10,17,0,0,0,1.0,231.05263157894737,88.75,334.54545454545456,0,0,0,4359,8,71641,4,355,5,1840,64240,64240,3,20,1120988.0,0.0,1120988.0,1120988.0,14959072.0,0.0,14959072.0,14959072.0,bad
192.168.1.74-106.14.34.130-56523-443-6,192.168.1.74,56523,106.14.34.130,443,6,07/04/2025 11:19:53 锟斤拷锟斤拷,16089471,7,8,879.0,589.0,472.0,0.0,125.57142857142856,200.72523271282824,449.0,0.0,73.625,156.33200705092807,91.23979278125428,0.9322867109801186,1149247.9285714286,3983467.2696699495,14958672.0,0.0,1130799.0,188466.5,401276.5174902464,1003643.0,288.0,15075433.0,2153633.285714286,5664609.903134834,14999660.0,0.0,0,0,0,0,164,164,0.435067131790722,0.4972195791893966,0.0,472.0,91.75,169.68107338965848,28791.666666666664,1,3,0,7,13,0,0,0,1.0,97.86666666666666,125.57142857142856,73.625,0,0,0,1437,5,19128,3,439,4,294,64240,64240,3,20,1130799.0,0.0,1130799.0,1130799.0,14958672.0,0.0,14958672.0,14958672.0,bad
106.14.34.130-192.168.1.74-443-56518-6,106.14.34.130,443,192.168.1.74,56518,6,07/04/2025 11:20:01 锟斤拷锟斤拷,8710367,2,2,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,3.5589774805125893,0.4592229007113018,2903455.6666666665,5028788.10644218,8710200.0,13.0,154.0,154.0,0.0,154.0,154.0,8710200.0,8710200.0,0.0,8710200.0,8710200.0,1,0,0,0,40,40,0.2296114503556509,0.2296114503556509,0.0,31.0,12.4,16.97939928266015,288.3,2,0,0,2,4,0,0,0,1.0,15.5,15.5,0.0,0,0,0,0,0,0,2,31,2,0,64240,63651,0,20,167.0,0.0,167.0,167.0,8710200.0,0.0,8710200.0,8710200.0,bad
106.14.34.130-192.168.1.74-443-56516-6,106.14.34.130,443,192.168.1.74,56516,6,07/04/2025 11:20:01 锟斤拷锟斤拷,8809339,2,2,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,3.5189927416801647,0.4540635795716342,2936446.333333333,5085995.434824764,8809248.0,13.0,78.0,78.0,0.0,78.0,78.0,8809248.0,8809248.0,0.0,8809248.0,8809248.0,1,0,0,0,40,40,0.2270317897858171,0.2270317897858171,0.0,31.0,12.4,16.97939928266015,288.3,2,0,0,2,4,0,0,0,1.0,15.5,15.5,0.0,0,0,0,0,0,0,2,31,2,0,64240,63651,0,20,91.0,0.0,91.0,91.0,8809248.0,0.0,8809248.0,8809248.0,bad
192.168.1.74-47.117.169.36-56526-443-6,192.168.1.74,56526,47.117.169.36,443,6,07/04/2025 11:19:58 锟斤拷锟斤拷,15070531,8,12,1599.0,4065.0,989.0,0.0,199.875,365.3684783885988,1424.0,0.0,338.74999999999994,537.1862932320255,375.8328090762031,1.3270932523877228,793185.8421052633,3431298.7245873385,14962610.0,0.0,107921.0,15417.285714285714,15202.815843501774,40251.0,481.0,15057878.0,1368898.0,4521832.429437229,15002717.0,0.0,0,0,0,0,172,244,0.5308373009550891,0.7962559514326336,0.0,1424.0,269.71428571428567,462.47574453771546,213883.81428571427,1,2,0,11,19,0,0,0,1.0,283.2,199.875,338.75,0,0,0,5633,9,105307,8,1599,12,4065,64240,64240,3,20,107921.0,0.0,107921.0,107921.0,14962610.0,0.0,14962610.0,14962610.0,bad
192.168.1.74-114.114.114.114-56520-853-6,192.168.1.74,56520,114.114.114.114,853,6,07/04/2025 11:19:52 锟斤拷锟斤拷,21051606,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285013884451381,4210321.2,2871566.328289615,8001152.0,1000287.0,15002622.0,3750655.5,3096111.6256759325,8001152.0,1000287.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,20,0.2375115703761508,0.0475023140752301,0.0,0.0,0.0,0.0,0.0,0,5,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,64240,0,32,7001470.0,0.0,7001470.0,7001470.0,7025068.0,1380391.23081538,8001152.0,6048984.0,bad
192.168.1.74-119.29.29.29-56519-853-6,192.168.1.74,56519,119.29.29.29,853,6,07/04/2025 11:19:52 锟斤拷锟斤拷,21051858,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2850104727098197,4210371.6,2870977.6655011266,8001038.0,1000448.0,15004164.0,3751041.0,3095715.265831038,8001038.0,1000448.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,20,0.2375087272581831,0.0475017454516366,0.0,0.0,0.0,0.0,0.0,0,5,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,64240,0,32,7003126.0,0.0,7003126.0,7003126.0,7024366.0,1381222.7883900555,8001038.0,6047694.0,bad
